timestamp;open;high;low;close;volume
2025-05-23 00:00:00;2.43110000;2.44260000;2.42120000;2.43410000;9482723.40000000
2025-05-23 01:00:00;2.43410000;2.45830000;2.42680000;2.45190000;9092706.30000000
2025-05-23 02:00:00;2.45190000;2.47990000;2.45110000;2.46080000;12585896.20000000
2025-05-23 03:00:00;2.46080000;2.47750000;2.45850000;2.47340000;5532572.90000000
2025-05-23 04:00:00;2.47350000;2.47800000;2.43910000;2.45640000;6521213.10000000
2025-05-23 05:00:00;2.45640000;2.46140000;2.44190000;2.45460000;5410665.00000000
2025-05-23 06:00:00;2.45450000;2.45730000;2.41000000;2.42040000;11887348.80000000
2025-05-23 07:00:00;2.42040000;2.43350000;2.41730000;2.42690000;5240157.10000000
2025-05-23 08:00:00;2.42680000;2.44400000;2.42660000;2.43890000;4974507.20000000
2025-05-23 09:00:00;2.43880000;2.45410000;2.43670000;2.44990000;5262423.00000000
2025-05-23 10:00:00;2.45000000;2.45070000;2.43480000;2.44210000;4064259.90000000
2025-05-23 11:00:00;2.44210000;2.44370000;2.35200000;2.36360000;19333378.90000000
2025-05-23 12:00:00;2.36370000;2.36490000;2.30000000;2.34880000;29950899.60000000
2025-05-23 13:00:00;2.34870000;2.37600000;2.33350000;2.37260000;12608575.90000000
2025-05-23 14:00:00;2.37260000;2.38290000;2.36600000;2.37580000;7056229.30000000
2025-05-23 15:00:00;2.37570000;2.38180000;2.35980000;2.36170000;4913166.20000000
2025-05-23 16:00:00;2.36170000;2.36690000;2.34750000;2.36300000;7182132.70000000
2025-05-23 17:00:00;2.36300000;2.37500000;2.36030000;2.36690000;3060924.20000000
2025-05-23 18:00:00;2.36700000;2.37090000;2.34560000;2.35050000;4125879.10000000
2025-05-23 19:00:00;2.35050000;2.36210000;2.33900000;2.34030000;4060251.60000000
2025-05-23 20:00:00;2.34030000;2.34540000;2.32460000;2.32630000;5590771.70000000
2025-05-23 21:00:00;2.32630000;2.34040000;2.32170000;2.32740000;4738576.10000000
2025-05-23 22:00:00;2.32750000;2.33820000;2.31390000;2.31620000;3622813.30000000
2025-05-23 23:00:00;2.31610000;2.31860000;2.28380000;2.29660000;11037383.90000000
2025-05-24 00:00:00;2.29650000;2.31810000;2.28590000;2.30030000;7144823.20000000
2025-05-24 01:00:00;2.30030000;2.32100000;2.30000000;2.31390000;3303059.80000000
2025-05-24 02:00:00;2.31380000;2.32900000;2.30760000;2.32810000;2171996.80000000
2025-05-24 03:00:00;2.32810000;2.33640000;2.32610000;2.33410000;2512442.00000000
2025-05-24 04:00:00;2.33420000;2.34810000;2.33350000;2.34430000;2422026.40000000
2025-05-24 05:00:00;2.34420000;2.34640000;2.33250000;2.33930000;2566489.20000000
2025-05-24 06:00:00;2.33920000;2.34460000;2.32840000;2.33780000;1688484.40000000
2025-05-24 07:00:00;2.33780000;2.34560000;2.33410000;2.33600000;1419606.80000000
2025-05-24 08:00:00;2.33600000;2.34470000;2.33140000;2.34410000;1940730.30000000
2025-05-24 09:00:00;2.34420000;2.34980000;2.34220000;2.34290000;2116930.10000000
2025-05-24 10:00:00;2.34300000;2.36000000;2.34300000;2.35460000;2868016.20000000
2025-05-24 11:00:00;2.35450000;2.35950000;2.35160000;2.35170000;1759754.20000000
2025-05-24 12:00:00;2.35180000;2.35470000;2.34300000;2.35010000;3180873.10000000
2025-05-24 13:00:00;2.35010000;2.35400000;2.34360000;2.34710000;1636981.20000000
2025-05-24 14:00:00;2.34700000;2.35680000;2.34580000;2.35370000;1311798.30000000
2025-05-24 15:00:00;2.35370000;2.35540000;2.34860000;2.35230000;1332126.00000000
2025-05-24 16:00:00;2.35240000;2.35280000;2.34030000;2.34940000;1449813.50000000
2025-05-24 17:00:00;2.34950000;2.35430000;2.34400000;2.34790000;817543.30000000
2025-05-24 18:00:00;2.34800000;2.35480000;2.34360000;2.34540000;992570.30000000
2025-05-24 19:00:00;2.34550000;2.35030000;2.34430000;2.34870000;744637.00000000
2025-05-24 20:00:00;2.34870000;2.35080000;2.34550000;2.34980000;841840.40000000
2025-05-24 21:00:00;2.34980000;2.35040000;2.33150000;2.34280000;1796954.00000000
2025-05-24 22:00:00;2.34280000;2.34320000;2.32850000;2.33200000;2358883.60000000
2025-05-24 23:00:00;2.33200000;2.33650000;2.32170000;2.33030000;2402708.10000000
2025-05-25 00:00:00;2.33040000;2.33650000;2.29870000;2.30570000;6090399.60000000
2025-05-25 01:00:00;2.30570000;2.31660000;2.29270000;2.31070000;3811071.70000000
2025-05-25 02:00:00;2.31070000;2.31830000;2.30000000;2.31660000;3216416.30000000
2025-05-25 03:00:00;2.31670000;2.32610000;2.31560000;2.32280000;1919564.70000000
2025-05-25 04:00:00;2.32280000;2.32530000;2.31300000;2.32410000;2163472.00000000
2025-05-25 05:00:00;2.32400000;2.32570000;2.31680000;2.32240000;1347575.30000000
2025-05-25 06:00:00;2.32250000;2.32340000;2.31450000;2.31920000;1351676.60000000
2025-05-25 07:00:00;2.31920000;2.31920000;2.30130000;2.30800000;2654496.00000000
2025-05-25 08:00:00;2.30810000;2.30810000;2.27810000;2.28940000;7009471.70000000
2025-05-25 09:00:00;2.28930000;2.29350000;2.27850000;2.29290000;4355729.80000000
2025-05-25 10:00:00;2.29290000;2.29730000;2.28270000;2.28400000;3718938.70000000
2025-05-25 11:00:00;2.28400000;2.29440000;2.28060000;2.29260000;2257557.70000000
2025-05-25 12:00:00;2.29250000;2.30580000;2.28860000;2.30480000;2705767.10000000
